Plan file, plan diff, Entropy, Cosine, Hamming Similarity, Hamming Dist, Euclidean, Jaccard
agent_116.plans , s1-s3, 0.305604, 0.130157, 33.333333, 0.031830, 0.007453, 0.000000 
agent_116.plans , s2-s3, 0.113194, 0.258978, 100.000000, 0.021220, 0.003689, 0.000000 

agent_117.plans , s1-s2, 0.000000, 1.000000, nan, 0.000000, 0.000000, 1.000000 
agent_117.plans , s1-s3, 0.000000, 1.000000, nan, 0.000000, 0.000000, 1.000000 
agent_117.plans , s2-s3, 0.000000, 1.000000, nan, 0.000000, 0.000000, 1.000000 

agent_118.plans , s1-s2, 0.798414, 0.046662, 0.000000, 0.045977, 0.015465, 0.000000 
agent_118.plans , s1-s3, 0.746725, 0.152778, 40.740741, 0.036251, 0.015193, 0.000000 
agent_118.plans , s2-s3, 0.112896, 0.355381, 100.000000, 0.022104, 0.003700, 0.000000 

agent_119.plans , s1-s2, 0.498551, 0.065212, 100.000000, 0.030946, 0.010259, 0.000000 
agent_119.plans , s1-s3, 0.459827, 0.156031, 0.000000, 0.038019, 0.009866, 0.000000 
agent_119.plans , s2-s3, 0.234641, 0.107585, 12.500000, 0.037135, 0.005220, 0.000000 

agent_12.plans , s1-s2, 0.000000, 1.000000, nan, 0.000000, 0.000000, 1.000000 
agent_12.plans , s1-s3, 0.000000, 1.000000, nan, 0.000000, 0.000000, 1.000000 
agent_12.plans , s2-s3, 0.000000, 1.000000, nan, 0.000000, 0.000000, 1.000000 

agent_120.plans , s1-s2, 0.272211, 0.093252, 0.000000, 0.021220, 0.007104, 0.000000 
agent_120.plans , s1-s3, 0.195691, 0.353757, 100.000000, 0.010610, 0.006444, 0.000000 
agent_120.plans , s2-s3, 0.094829, 0.264412, 50.000000, 0.015915, 0.003333, 0.000000 

agent_121.plans , s1-s2, 0.967292, 0.063073, 6.122449, 0.046861, 0.019616, 0.000000 
agent_121.plans , s1-s3, 1.012330, 0.023722, 0.000000, 0.049514, 0.020514, 0.000000 
agent_121.plans , s2-s3, 0.072933, 0.362198, 100.000000, 0.006189, 0.006224, 0.000000 

agent_122.plans , s1-s2, 0.957153, 0.030722, 0.000000, 0.048630, 0.019511, 0.000000 
agent_122.plans , s1-s3, 0.928622, 0.081154, 30.952381, 0.037135, 0.019404, 0.000000 
agent_122.plans , s2-s3, 0.040305, 0.629537, 100.000000, 0.011494, 0.002045, 0.000000 

agent_123.plans , s1-s2, 1.228579, 0.016990, 0.000000, 0.044209, 0.024090, 0.000000 
agent_123.plans , s1-s3, 1.215536, 0.042396, 18.918919, 0.038019, 0.024040, 0.000000 
agent_123.plans , s2-s3, 0.045217, 0.683691, 100.000000, 0.011494, 0.002210, 0.000000 

agent_124.plans , s1-s2, 0.215689, 0.037312, 3.225806, 0.034483, 0.004967, 0.000000 
agent_124.plans , s1-s3, 0.055698, 0.792990, 100.000000, 0.007958, 0.002409, 0.000000 
agent_124.plans , s2-s3, 0.192304, 0.040409, 0.000000, 0.035367, 0.004740, 0.000000 

agent_125.plans , s1-s2, 1.085893, 0.017320, 41.666667, 0.042440, 0.020608, 0.000000 
agent_125.plans , s1-s3, 1.099915, 0.015233, 0.000000, 0.046861, 0.020667, 0.000000 
agent_125.plans , s2-s3, 0.143714, 0.578794, 100.000000, 0.036251, 0.004193, 0.000000 

agent_126.plans , s1-s2, 0.000000, 1.000000, 100.000000, 0.000000, 0.000000, 1.000000 
agent_126.plans , s1-s3, 0.200463, 0.065758, 0.000000, 0.002653, 0.008500, 1.000000 
agent_126.plans , s2-s3, 0.200463, 0.065758, 0.000000, 0.002653, 0.008500, 1.000000 

agent_127.plans , s1-s2, 0.000000, 1.000000, nan, 0.000000, 0.000000, 1.000000 
agent_127.plans , s1-s3, 0.000000, 1.000000, nan, 0.000000, 0.000000, 1.000000 
agent_127.plans , s2-s3, 0.000000, 1.000000, nan, 0.000000, 0.000000, 1.000000 

agent_128.plans , s1-s2, 0.359361, 0.063906, 34.782609, 0.030946, 0.007973, 0.000000 
agent_128.plans , s1-s3, 0.360555, 0.058812, 0.000000, 0.038019, 0.007813, 0.000000 
agent_128.plans , s2-s3, 0.118764, 0.333291, 100.000000, 0.017683, 0.003551, 0.000000 

agent_129.plans , s1-s2, 0.291067, 0.028310, 0.000000, 0.011494, 0.006646, 0.000000 
agent_129.plans , s1-s3, 0.291067, 0.028310, 0.000000, 0.011494, 0.006646, 0.000000 
agent_129.plans , s2-s3, 0.000000, 1.000000, 100.000000, 0.000000, 0.000000, 0.000000 

agent_13.plans , s1-s2, 0.772743, 0.042512, 0.000000, 0.034483, 0.015152, 0.000000 
agent_13.plans , s1-s3, 0.747672, 0.093571, 34.615385, 0.026525, 0.015044, 0.000000 
agent_13.plans , s2-s3, 0.048140, 0.542317, 100.000000, 0.011494, 0.002210, 0.000000 

agent_130.plans , s1-s2, 0.722389, 0.004053, 0.000000, 0.043324, 0.014462, 0.000000 
agent_130.plans , s1-s3, 0.479476, 0.392456, 100.000000, 0.020336, 0.012438, 0.000000 
agent_130.plans , s2-s3, 0.418127, 0.026432, 11.538462, 0.040672, 0.011490, 0.000000 

agent_131.plans , s1-s2, 0.173577, 0.109858, 0.000000, 0.005305, 0.006195, 0.000000 
agent_131.plans , s1-s3, 0.173577, 0.109858, 0.000000, 0.005305, 0.006195, 0.000000 
agent_131.plans , s2-s3, 0.000000, 1.000000, 100.000000, 0.000000, 0.000000, 0.000000 

agent_132.plans , s1-s2, 0.178347, 0.314389, 0.000000, 0.006189, 0.006260, 0.000000 
agent_132.plans , s1-s3, 0.178347, 0.314389, 0.000000, 0.006189, 0.006260, 0.000000 
agent_132.plans , s2-s3, 0.000000, 1.000000, 100.000000, 0.000000, 0.000000, 0.000000 

agent_133.plans , s1-s2, 1.085944, 0.001741, 0.000000, 0.061008, 0.020781, 0.000000 
agent_133.plans , s1-s3, 1.120717, 0.000813, 1.612903, 0.060124, 0.021597, 0.000000 
agent_133.plans , s2-s3, 0.072250, 0.366229, 100.000000, 0.006189, 0.006224, 0.000000 

agent_134.plans , s1-s2, 0.542193, 0.145891, 0.000000, 0.016799, 0.012186, 0.000000 
agent_134.plans , s1-s3, 0.542193, 0.145891, 0.000000, 0.016799, 0.012186, 0.000000 
agent_134.plans , s2-s3, 0.000000, 1.000000, 100.000000, 0.000000, 0.000000, 0.000000 

agent_135.plans , s1-s2, 0.943755, 0.030407, 0.000000, 0.026525, 0.019268, 0.000000 
agent_135.plans , s1-s3, 0.943755, 0.030407, 0.000000, 0.026525, 0.019268, 0.000000 
agent_135.plans , s2-s3, 0.000000, 1.000000, 100.000000, 0.000000, 0.000000, 0.000000 

agent_136.plans , s1-s2, 0.000000, 1.000000, nan, 0.000000, 0.000000, 1.000000 
agent_136.plans , s1-s3, 0.000000, 1.000000, nan, 0.000000, 0.000000, 1.000000 
agent_136.plans , s2-s3, 0.000000, 1.000000, nan, 0.000000, 0.000000, 1.000000 

agent_137.plans , s1-s2, 0.330456, 0.025277, 0.000000, 0.050398, 0.007559, 0.000000 
agent_137.plans , s1-s3, 0.330456, 0.025277, 0.000000, 0.050398, 0.007559, 0.000000 
agent_137.plans , s2-s3, 0.000000, 1.000000, 100.000000, 0.000000, 0.000000, 0.000000 

agent_138.plans , s1-s2, 1.198908, 0.076278, 0.000000, 0.026525, 0.023950, 0.000000 
agent_138.plans , s1-s3, 1.183981, 0.092038, 41.176471, 0.020336, 0.023899, 0.000000 
agent_138.plans , s2-s3, 0.046427, 0.803155, 100.000000, 0.011494, 0.002210, 0.000000 

agent_139.plans , s1-s2, 0.964296, 0.000000, 100.000000, 0.017683, 0.019239, 0.000000 
agent_139.plans , s1-s3, 0.983543, 0.008833, 50.000000, 0.019452, 0.019328, 0.000000 
agent_139.plans , s2-s3, 0.131845, 0.481989, 0.000000, 0.021220, 0.004118, 0.000000 

agent_14.plans , s1-s2, 1.101759, 0.024741, 19.047619, 0.052166, 0.020996, 0.000000 
agent_14.plans , s1-s3, 1.064322, 0.085066, 0.000000, 0.055703, 0.020753, 0.000000 
agent_14.plans , s2-s3, 0.223522, 0.259765, 100.000000, 0.037135, 0.005220, 0.000000 

agent_140.plans , s1-s2, 0.054569, 0.306583, 0.000000, 0.011494, 0.002210, 0.000000 
agent_140.plans , s1-s3, 0.000000, 1.000000, 100.000000, 0.000000, 0.000000, 0.000000 
agent_140.plans , s2-s3, 0.047462, 0.306583, 0.000000, 0.011494, 0.002210, 0.000000 

agent_141.plans , s1-s2, 0.557555, 0.016476, 0.000000, 0.015031, 0.012222, 0.000000 
agent_141.plans , s1-s3, 0.557555, 0.016476, 0.000000, 0.015031, 0.012222, 0.000000 
agent_141.plans , s2-s3, 0.000000, 1.000000, 100.000000, 0.000000, 0.000000, 0.000000 

agent_142.plans , s1-s2, 0.000000, 1.000000, nan, 0.000000, 0.000000, 1.000000 
agent_142.plans , s1-s3, 0.000000, 1.000000, nan, 0.000000, 0.000000, 1.000000 
agent_142.plans , s2-s3, 0.000000, 1.000000, nan, 0.000000, 0.000000, 1.000000 

agent_143.plans , s1-s2, 0.310021, 0.173927, 0.000000, 0.022104, 0.007520, 0.000000 
agent_143.plans , s1-s3, 0.256240, 0.319396, 40.000000, 0.016799, 0.007068, 0.000000 
agent_143.plans , s2-s3, 0.080459, 0.578065, 100.000000, 0.008842, 0.003255, 0.000000 

agent_144.plans , s1-s2, 0.208609, 0.133333, 3.921569, 0.048630, 0.004634, 0.000000 
agent_144.plans , s1-s3, 0.256932, 0.013478, 0.000000, 0.050398, 0.007559, 0.000000 
agent_144.plans , s2-s3, 0.074781, 0.253631, 100.000000, 0.005305, 0.006195, 0.000000 

agent_145.plans , s1-s2, 0.297438, 0.276700, 41.666667, 0.022989, 0.007520, 0.000000 
agent_145.plans , s1-s3, 0.249484, 0.380876, 100.000000, 0.016799, 0.007068, 0.000000 
agent_145.plans , s2-s3, 0.198519, 0.293888, 0.000000, 0.027409, 0.004929, 0.000000 

agent_146.plans , s1-s2, 1.190718, 0.068449, 0.000000, 0.028294, 0.023936, 0.000000 
agent_146.plans , s1-s3, 1.190718, 0.068449, 0.000000, 0.028294, 0.023936, 0.000000 
agent_146.plans , s2-s3, 0.000000, 1.000000, 100.000000, 0.000000, 0.000000, 0.000000 

agent_147.plans , s1-s2, 0.046788, 0.356261, 0.000000, 0.005305, 0.002173, 1.000000 
agent_147.plans , s1-s3, 0.046788, 0.356261, 0.000000, 0.005305, 0.002173, 1.000000 
agent_147.plans , s2-s3, 0.000000, 1.000000, 100.000000, 0.000000, 0.000000, 1.000000 

agent_148.plans , s1-s2, 0.874452, 0.000000, 0.000000, 0.043324, 0.016506, 0.000000 
agent_148.plans , s1-s3, 0.874753, 0.000000, 0.000000, 0.043324, 0.016508, 0.000000 
agent_148.plans , s2-s3, 0.015095, 0.870804, 100.000000, 0.003537, 0.001221, 0.000000 

agent_149.plans , s1-s2, 0.000000, 1.000000, 100.000000, 0.000000, 0.000000, 1.000000 
agent_149.plans , s1-s3, 0.034312, 0.689287, 0.000000, 0.005305, 0.001855, 1.000000 
agent_149.plans , s2-s3, 0.034312, 0.689287, 0.000000, 0.005305, 0.001855, 1.000000 

