317,843,916,0,317,228.53154643628508,1.261015482001141,car-12,max_speed
319,802,916,0,319,217.22564704584613,1.3350173146856579,car-215,max_speed
333,802,916,0,333,217.22564704584613,1.393607416270608,car-312,balanced
385,798,885,0,385,247.94301131336738,1.4116147018866605,car-83,balanced
408,622,916,0,408,216.64097768178542,1.7120911051920347,car-102,max_speed
415,843,916,0,415,228.53154643628508,1.6508562303800425,car-225,max_speed
417,2241,880,0,417,238.24793328215486,1.5911613749108797,car-9,balanced
417,820,916,0,417,223.49185637408,1.6962179975649216,car-352,max_speed
438,820,880,0,438,254.76864441110905,1.5629153230461499,car-393,max_speed
439,cluster_794_797,916,0,439,225.2547463745625,1.7717314086127396,car-54,balanced
444,2408,916,0,444,237.39297531624715,1.7002877321818493,car-89,balanced
448,cluster_794_797,916,0,448,225.2547463745625,1.8080539204066228,car-68,balanced
457,802,885,0,457,241.81455993281517,1.7180708455684954,car-169,balanced
463,798,916,0,463,223.35409842639834,1.8844923548505765,car-172,balanced
466,818,880,0,466,265.745055673228,1.5941457972308835,car-70,balanced
468,804,880,0,468,275.24901535645336,1.5457077835630861,car-79,balanced
475,843,916,0,475,228.53154643628508,1.8895342395916148,car-265,max_speed
478,2408,880,0,478,268.66976335327627,1.6173962009043303,car-14,balanced
480,2408,880,0,480,268.66976335327627,1.624163549025269,car-58,balanced
482,818,21,0,482,299.6166042926758,1.4624750828354862,car-136,balanced
502,846,885,0,502,259.0585442764579,1.7616235651993073,car-133,balanced
511,820,880,0,511,254.76864441110905,1.8234012102205082,car-410,balanced
545,846,880,0,545,265.74641942651795,1.8643884140517817,car-146,balanced
545,cluster_794_797,916,0,545,225.2547463745625,2.1995298808518067,car-334,balanced
549,820,880,0,549,254.76864441110905,1.9589966035441468,car-462,balanced
551,820,885,0,551,248.08076926104903,2.0191371237727704,car-282,max_speed
552,586,880,0,552,248.52406495123583,2.0191935212255845,car-77,balanced
555,cluster_794_797,885,0,555,249.84365926153154,2.019444704087151,car-159,balanced
559,849,885,0,559,257.6798545716343,1.972144151612539,car-29,max_speed
559,812,880,0,559,269.75471655702,1.8838662940464288,car-107,balanced
561,820,885,0,561,248.08076926104903,2.0557820806470497,car-398,max_speed
562,622,21,0,562,281.7893143382623,1.8130889459342354,car-208,balanced
564,812,880,0,564,269.75471655702,1.9007166186801179,car-179,balanced
564,843,885,0,564,253.12045932325412,2.0256255622248256,car-272,max_speed
566,798,880,0,566,254.6308864634274,2.0207503562980316,car-348,balanced
568,798,880,0,568,254.6308864634274,2.027890816920993,car-319,balanced
575,758,916,0,575,231.17652160086183,2.2611607316671556,car-5,max_speed
582,846,21,0,582,299.6179680459657,1.7658851121029526,car-262,balanced
589,2241,880,0,589,238.24793328215486,2.2474677453777177,car-103,max_speed
589,622,21,0,589,281.7893143382623,1.9001946426250258,car-230,balanced
591,846,880,0,591,265.74641942651795,2.0217496379900974,car-32,max_speed
591,2408,21,0,591,302.54131197272403,1.7758656620130138,car-395,balanced
595,812,21,0,595,303.62626517646777,1.7814963754690794,car-3,balanced
595,760,916,0,595,232.64520410626145,2.325038648387649,car-171,max_speed
597,760,916,0,597,232.64520410626145,2.332853904348616,car-220,max_speed
613,846,880,0,613,265.74641942651795,2.097009353786683,car-192,max_speed
613,798,916,0,613,223.35409842639834,2.4950190356876965,car-403,balanced
617,cluster_794_797,21,0,617,290.40308303103933,1.9314846283816447,car-302,balanced
619,798,21,0,619,288.5024350828752,1.95051134513171,car-491,balanced
630,622,21,0,630,281.7893143382623,2.032466256118449,car-92,min_length
632,cluster_691_696,21,0,632,302.838068423547,1.897203536980363,car-6,min_length
644,798,885,0,644,247.94301131336738,2.3612464104285955,car-494,balanced
647,818,880,0,647,265.745055673228,2.213331181992235,car-152,max_speed
650,758,885,0,650,255.76543448783087,2.310355549382127,car-396,max_speed
652,798,916,0,652,223.35409842639834,2.6537559727053477,car-73,max_speed
654,798,880,0,654,254.6308864634274,2.3349306237083263,car-496,balanced
660,2590,916,0,660,284.9649517638588,2.105522087141441,car-74,max_speed
663,776,880,0,663,269.81544066740855,2.233850187507364,car-112,max_speed
667,2241,885,0,667,231.56005813209484,2.6186020216739303,car-411,max_speed
674,818,916,0,674,234.4682676361989,2.6132631033807128,car-153,max_speed
676,660,916,0,676,254.73480464248732,2.4124911215330416,car-246,max_speed
677,592,21,0,677,282.749105291346,2.176680788504629,car-64,balanced
681,846,21,0,681,299.6179680459657,2.0662676311720114,car-328,max_speed
692,661,916,0,692,245.6272987760979,2.56116039310581,car-49,balanced
696,798,21,0,696,288.5024350828752,2.1931436126198225,car-322,balanced
698,cluster_794_797,21,0,698,290.40308303103933,2.1850506817024113,car-424,balanced
719,592,21,0,719,282.749105291346,2.311718592222789,car-111,min_length
721,758,21,0,721,296.3248582573387,2.2119458668071856,car-38,balanced
723,802,916,1,338,217.22564704584613,1.4145324525509475,car-83,balanced
726,818,885,0,726,259.057180523168,2.547700081762354,car-388,min_length
730,758,21,0,730,296.3248582573387,2.239556841566221,car-441,max_speed
732,776,880,0,732,269.81544066740855,2.4663323337185377,car-453,max_speed
739,776,880,0,739,269.81544066740855,2.4899174789863383,car-116,max_speed
741,cluster_794_797,885,0,741,249.84365926153154,2.696231577889331,car-493,balanced
744,cluster_794_797,880,0,744,256.53153441159157,2.63657112532,car-359,balanced
746,cluster_794_797,880,0,746,256.53153441159157,2.643658682108495,car-418,balanced
751,cluster_794_797,880,0,751,256.53153441159157,2.661377574079731,car-477,balanced
752,846,916,0,752,234.46963138948885,2.9156712516886336,car-349,max_speed
