zip_code,LAT,LNG,pop2010
11,0,0,116688
55802,46.740951,-92.049345,2442
55804,46.931351,-91.936344,14592
55803,47.053522,-92.068754,17431
55805,46.800824,-92.095786,10194
55806,46.768139,-92.127642,9576
55807,46.735493,-92.168592,9963
55808,46.676281,-92.241391,5846
55810,46.756745,-92.269437,8702
55811,46.842463,-92.221917,26246
55812,46.808688,-92.070727,10924
55814,46.833589,-92.197949,772
