282,cluster_691_696,1158,0,282,258.00856309057144,0.993624526615585,car-10,balanced
377,2518,1158,0,377,258.7114288756971,1.3247473225929367,car-44,balanced
449,2518,1185,0,449,242.2860466277655,1.6847103820589615,car-98,balanced
450,2518,1189,0,450,234.81160458312908,1.7422090778570563,car-11,min_length
454,2518,1185,0,454,242.2860466277655,1.703471076736678,car-67,min_length
457,2518,1159,0,457,247.74504232107523,1.6769439322064024,car-48,balanced
473,2496,1184,0,473,280.2972891377285,1.5340854751852868,car-0,balanced
479,2495,1911,0,479,287.4795572933709,1.5147322110635055,car-6,balanced
488,2518,1910,0,488,256.5261426661809,1.7294002046944217,car-66,max_speed
508,cluster_691_696,1189,0,508,186.61989735382318,2.4746459963087144,car-13,max_speed
518,2518,1158,0,518,211.2225874315168,2.2294447607871026,car-96,min_length
524,2496,1189,0,524,213.26876745860326,2.2336305594118526,car-4,balanced
541,2496,1162,0,541,221.52633484841016,2.2201341531458625,car-18,balanced
541,2518,1159,0,541,200.25620087689498,2.455944832991818,car-101,balanced
545,2496,1185,0,545,220.74320950323968,2.2444837445714225,car-31,max_speed
553,2518,1158,0,553,211.2225874315168,2.3800829202997447,car-23,max_speed
554,2496,1184,0,554,232.8084476935482,2.163307941038777,car-26,max_speed
555,2518,1158,0,555,211.2225874315168,2.3886908151290385,car-95,max_speed
560,2495,1911,0,560,239.99071584919056,2.1212941812749966,car-1,min_length
563,2496,1911,0,563,242.06414997446058,2.1143906764887825,car-3,balanced
564,2496,1158,0,564,237.16859175117125,2.161868352556597,car-22,balanced
567,2496,1184,0,567,232.8084476935482,2.2140714847815643,car-5,max_speed
568,2518,1159,0,568,200.25620087689498,2.5785150926790252,car-9,max_speed
569,2496,1184,0,569,232.8084476935482,2.221881260741993,car-78,max_speed
613,2496,1909,0,613,227.35065248043057,2.4511595686785856,car-38,balanced
617,2568,1189,0,617,276.25796313687454,2.0303816206419483,car-141,balanced
625,2496,1162,0,625,221.52633484841016,2.5648499920816334,car-43,balanced
626,2496,1158,0,626,237.16859175117125,2.3995205473411874,car-84,balanced
628,2496,1159,0,628,226.20220519654941,2.523888263657828,car-2,max_speed
631,2496,1184,0,631,232.8084476935482,2.463984315515286,car-100,balanced
635,2568,1184,0,635,295.7976433718195,1.9515798729575804,car-76,balanced
639,2496,1184,0,639,232.8084476935482,2.495223419357001,car-73,balanced
644,2495,1159,0,644,224.1287710712794,2.6121347235172854,car-8,max_speed
646,2453,1909,0,646,236.03171799518938,2.4881093619997996,car-7,max_speed
648,2496,1909,0,648,227.35065248043057,2.5911115832034644,car-83,balanced
650,2518,1911,0,650,216.11814565480614,2.734194711502467,car-103,balanced
652,2496,1184,0,652,232.8084476935482,2.545986963099788,car-115,balanced
662,2496,1162,0,662,221.52633484841016,2.7166891116128666,car-107,min_length
664,2495,1911,0,664,239.99071584919056,2.515248814940353,car-17,balanced
698,2568,1185,0,698,283.73240518151096,2.2364222166992853,car-133,balanced
700,2495,1909,0,700,225.27721835516056,2.8248024412321087,car-28,balanced
700,2568,1158,0,700,300.1577874294426,2.1200970390056093,car-79,min_length
703,2568,1185,0,703,283.73240518151096,2.252442433151286,car-145,balanced
708,2496,1162,0,708,221.52633484841016,2.9054620710300747,car-122,balanced
709,2568,1158,0,709,300.1577874294426,2.14735542950711,car-32,balanced
710,2496,1162,0,710,221.52633484841016,2.913669591004736,car-53,max_speed
720,2568,1185,0,720,283.73240518151096,2.306911169088088,car-189,max_speed
729,2496,1159,0,729,226.20220519654941,2.9298002296282752,car-40,min_length
732,2518,1909,0,732,201.40464816077613,3.30406746582795,car-121,max_speed
735,2568,1189,0,735,276.25796313687454,2.418687992174768,car-12,min_length
736,2495,1909,0,736,225.27721835516056,2.970077995352617,car-34,max_speed
737,2518,1185,0,737,194.79720518358525,3.439474397841402,car-149,balanced
739,2496,1159,0,739,226.20220519654941,2.9699895331897057,car-42,balanced
740,2568,1184,0,740,295.7976433718195,2.2742820566749757,car-202,max_speed
747,2568,1159,0,747,289.1914008748207,2.3482403247005954,car-146,balanced
750,2496,1158,0,750,237.16859175117125,2.8748249369103682,car-118,min_length
752,2568,1909,0,752,290.33984815870184,2.3546074297823667,car-41,balanced
756,2568,1159,0,756,289.1914008748207,2.376532376805422,car-45,balanced
766,2444,1159,0,766,242.65864868107064,2.869725188649163,car-195,max_speed
768,2568,1159,0,768,289.1914008748207,2.4142551129451904,car-82,max_speed
789,2495,1159,0,789,224.1287710712794,3.2002706472905875,car-30,min_length
795,2568,1189,0,795,276.25796313687454,2.6161319099033205,car-225,balanced
798,2496,1159,0,798,226.20220519654941,3.2071064242021445,car-129,balanced
805,cluster_691_696,1185,0,805,194.0943393984596,3.770425165856175,car-15,max_speed
805,2568,1185,0,805,283.73240518151096,2.579254848772098,car-224,balanced
807,2496,1185,0,807,220.74320950323968,3.3234832694846568,car-57,balanced
818,2495,1184,0,818,230.7350135682782,3.2229021167448852,car-27,balanced
818,2568,1909,0,818,290.33984815870184,2.561261805268585,car-272,min_length
821,2568,1184,0,821,295.7976433718195,2.5232237412569662,car-110,balanced
840,2495,1911,0,840,239.99071584919056,3.181941271912495,car-37,max_speed
843,2518,1159,0,843,200.25620087689498,3.8269158857894685,car-153,max_speed
862,2495,1159,0,862,224.1287710712794,3.496366664086801,car-150,min_length
868,2496,1911,0,868,242.06414997446058,3.2598421086896323,car-193,max_speed
881,2495,1911,0,881,239.99071584919056,3.337250310184414,car-35,balanced
883,2568,1159,0,883,289.1914008748207,2.775764667617973,car-265,min_length
